GroupingVariable	TargetField	SourceField	MatchValue	QuantificationType	QuantificationSourceField	QuantificationScoreType	ScopeField	ScopeMatchValue	EffectorDifferentiationScoreField	EffectorDifferentiationCutpointLow	EffectorDifferentiationCutpointHigh	SubsetPhenotypeOutputFieldName
cDNA_ID	Myeloid__coarse__Alv_mac	RIRA_Myeloid_v3.coarseclass	Alv. mac.	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Ambiguous	RIRA_Myeloid_v3.coarseclass	Ambiguous	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__DC	RIRA_Myeloid_v3.coarseclass	DC	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__MacrophageM1	RIRA_Myeloid_v3.coarseclass	MacrophageM1	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Macrophages	RIRA_Myeloid_v3.coarseclass	Macrophages	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Monocytes	RIRA_Myeloid_v3.coarseclass	Monocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Myelocytes	RIRA_Myeloid_v3.coarseclass	Myelocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__pDC	RIRA_Myeloid_v3.coarseclass	pDC	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Promyelocytes	RIRA_Myeloid_v3.coarseclass	Promyelocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Unassigned	RIRA_Myeloid_v3.coarseclass	Unassigned	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Unknown	RIRA_Myeloid_v3.coarseclass	Unknown	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Alv_mac__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Alv. mac.	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Ambiguous__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Ambiguous	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__DC__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	DC	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__MacrophageM1__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	MacrophageM1	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Macrophages__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Macrophages	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Monocytes__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Monocytes	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Myelocytes__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Myelocytes	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__pDC__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	pDC	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Promyelocytes__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Promyelocytes	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Unassigned__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Unassigned	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__coarse__Unknown__InterferonResponseScore	RIRA_Myeloid_v3.coarseclass	Unknown	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	Myeloid				
